ID,Lot,Péremption,Qte
1030300012340,,,1
1110101100000,,,1
1080302002680,,,2
1040609850010,,,1
1110300020000,,,2
1110100076500,,,1
1090200007830,,,1
1110300055500,,,1
1080172311220,,,1
1030377339870,,,11
1080300029060,JSL030BX2,,1
1110150210210,,,1
1110309702620,,,1
1110400000100,,,2
1080100003090,,,1
1110300002530,,,1
1030300076910,,,2
1030306046070,,,1
1030312345670,09-07-30,,7
1080100000210,,,2
1110300000220,,,5
1030100007620,,,2
1045,161A36,,1
1030200395000,16J174FHX,20211017,1
1030200009140,230017Z,,4
1110100000010,,,1
1070321377010,,,2
1070321377040,,,1
1160268038490,,,2
1070321377050,14031006,,1
1030200112140,6M02277,20211130,1
1100243039710,SU1806938,20230530,1
1030300000030,ORD 216-15-3,,2
1100243039720,SU1902959,20240131,1
1030200018260,20180710,20230710,2
1140,8 GM,,1
1110300000500,,,1
1100143033480,180319,20240228,1
1039,20190722,20240721,1
1160544948580,WB190115,,1
1110511663210,13519S5M50,20210928,1
1080100029330,G203676,20220328,1
2061000000020,797,20991231,2
1100243039720,22010401,20221231,1
1030311130010,31953315,20240301,1
1030200395000,298796,20230531,1
1084,PC297644,20250217,2
1030200112100,7L02133,20221001,1
1263,0178393,20230131,2
1030300011920,32050727,20230101,2
1030323466100,201903010,20930302,1
1100243039730,SU2005533,20250430,1
1030200112140,6M02277,20221001,1
1030136035390,41520067,20240331,1
2030226031210,819,20250531,1
1010300643080,G208006,20221031,1
1080300013410,IN0070220,20220228,2
2061000000020,807,20240630,5
1030358751030,030720fj,20250703,1
1080313063660,C11619S,20280328,1
1070321377030,19031001,20250201,1
1140,27 GM,,1
1030300005140,2020052015,20250531,50
1030200112100,9H04134,20240701,1
1030311120010,31960929,20241130,1
1110300090070,H00144I20I,20250930,2
1140,16 GM,,1
1010192812880,1907844,20211130,1
2061000000020,822,20230505,1
1080103651290,C20704SA,20220328,5
1030311130010,31961221,20241201,1
1030311140010,31960921,20241130,2
1010391282100,13PKL011,20220930,1
1030200020000,D510118A,20230126,1
2061000000010,826,20230630,2
1030300011020,32101059,20260101,1
1030311110010,32054875,20250601,1
1030100012690,AV6288C,20250131,1
1100204309740,23090403,20230831,4
1080310612290,C23913S,20230228,1
1070300007610,202011,20251130,2
2061000000010,829,20230630,2
1070104855060,20G390,20250930,1
1010391759360,14pM3312,20231130,1
1070161020250,496,20250430,1
1070161010250,490,20261130,1
1030136035390,41820120,20240831,1
1085,B34001S,20221128,1
1070100012120,496,20250430,1
1010406000180,C0522,20221230,1
1100143033470,070619,20240531,1
1053,1000480685,,1
1140,35 GM,,1
1140,29 GM,,1
1010300643080,G210738,20230228,3
1010491894990,016069/A,20220828,5
1030300011020,32109043,20260501,4
1030300007640,21031468,20260330,2
1080115685440,D14015S,20230528,1
1025,D05111SB,20221128,2
1080100855630,0720,,1
1070104115450,4500001284,20251231,1
1100243039730,06100903,20230930,1
1080119161290,D05614SA,20221128,15
1160544948580,1000483949,,1
1140,33 GM,,1
891,806,,1
1010491894990,016068,20220828,4
1070305017460,4970,20240227,1
1281,2021/6901,,1
1025,D05813SA,20271228,3
1030311110010,32053763,20250501,3
1010392810290,4303811,20221031,1
1070321377030,19031003,20250430,1
1010390072390,HY404,20220331,1
1085,C13218S,20280428,1
1016,sr231228,,1
